,Popularity,Country/ Region,Term,Full Form | Definition | Meaning,Main Category,Subcategory
2603,70,Indonesia, BNI , Bank Negara Indonesia ,Business,Banking
2604,60,Ghana, BNI , Bureau of National Investigations ,Governmental,Departments & Agencies
2605,40,Mozambique, BNI , Banco Nacional de Investimento ,Business,Banking
2606,40,United States, BNI , Barrow Neurological Institute ,Medical,Healthcare
2607,40,Nigeria, BNI , Benin Airport ,Transport & Travel,Airport Codes
2608,40,United Kingdom, BNI , British Nursing Index ,News & Entertainment,Journals & Publications
2609,40,Worldwide, BNI , Bladder Neck Incision ,Medical,Treatments & Procedures
2610,20,Worldwide, BNI , Bankruptcy Navigator Index ,Business,Finance
2611,10,United States, BNI , Bishop Noll Institute ,Academic & Science,Universities & Institutions
2612,40,India, BNPM , Bank Note Paper Mill ,Governmental,Firms & Organizations
2613,70,India, BNYS , Bachelor of Naturopathy and Yogic Sciences ,Medical,Alternative Medicine
2614,60,Bolivia, BOB , Bolivian Boliviano ,Regional,Currencies
2615,50,India, BOB , Bank of Baroda ,Business,Banking
2616,50,Worldwide, BOB , Best of the Best ,Society & Culture,Awards
2617,40,French Polynesia, BOB , Bora Bora Airport ,Transport & Travel,Airport Codes
2618,30,Worldwide, BoB , Buy on Board ,Transport & Travel,Air Transport
2619,20,Switzerland, BOB , Berner Oberland Bahn ,Transport & Travel,Rail Transport
2620,10,India, BOB , Bharat Overseas Bank ,Business,Banking
2621,80,Worldwide, BODMAS ," Brackets, Orders, Division, Multiplication, Addition, Subtraction ",Academic & Science,Mathematics
2622,60,Worldwide, BOE , Board Of Education ,Academic & Science,Universities & Institutions
2623,50,United Kingdom, BoE , Bank of England ,Business,Banking
2624,50,Worldwide, BOE , Bill of Exchange ,Business,Business Terms
2625,50,Spain, BOE , Boletín Oficial del Estado ,News & Entertainment,Journals & Publications
2626,40,Worldwide, BOE , Bill of Entry ,Business,Trade
2627,30,Worldwide, BOE , Barrel of Oil Equivalent ,Academic & Science,Units
2628,10,Congo-Brazzavill, BOE , Boundji Airport ,Transport & Travel,Airport Codes
2629,30,Worldwide, BOED , Barrels of Oil Equivalent per Day ,Academic & Science,Units
2630,10,India, BOED , Business Organisation and Entrepreneurship Development ,Academic & Science,Courses
2631,80,Worldwide, Boeing ," named after its founder, William Edward Boeing ",Business,Companies & Corporations
2632,80,Worldwide, BofA , Bank of America ,Business,Banking
2633,40,Australia, BOFA , Breath Of Fresh Air ,Regional,Festivals & Events
2634,20,Worldwide, BOFA , Boosted Over-Fire Air ,Technology,Tech Terms
2635,60,Worldwide, BOGO , Buy One Get One ,Business,Marketing
2636,70,Worldwide, BOI , Board of Investment ,Governmental,Departments & Agencies
2637,50,India, BoI , Bank of India ,Business,Banking
2638,40,United States, BOI , Boise Airport ,Transport & Travel,Airport Codes
2639,40,Ireland, BOI , Bank of Ireland ,Business,Banking
2640,40,India, BoI , Bureau of Immigration ,Governmental,Departments & Agencies
2641,30,France, BOI , Boiron ,Business,Stock Market
2642,30,Nigeria, BOI , Bank of Industry ,Business,Banking
2643,20,New Zealand, BOI , Bay of Islands ,Regional,Landscapes
2644,20,Worldwide, BOI , Balkan Olympiad on Informatics ,Associations & Organizations,Conferences & Events
2645,20,United States, BOI , Blue Ocean Institute ,Associations & Organizations,Regional Organizations
2646,20,India, BOI , Bainchi Railway Station ,Transport & Travel,IRCTC Station Codes
2647,80,Worldwide, BOM , Bill of Materials ,Business,Accounting
2648,70,India, BOM , Chhatrapati Shivaji International Airport ,Transport & Travel,Airport Codes
2649,40,Australia, BOM , Bureau of Meteorology ,Governmental,Departments & Agencies
2650,40,Mauritius, BOM , Bank of Mauritius ,Business,Banking
2651,40,India, BOM , Bank of Maharashtra ,Business,Banking
2652,30,Worldwide, BOM , Byte Order Mark ,Computing,Compression & Encoding
2653,100,Worldwide, Bosch ," named after its founder, Robert Bosch ",Business,Companies & Corporations
2654,70,Worldwide, Bose ," named after its founder, Amar Gopal Bose ",Business,Companies & Corporations
2655,40,India, BOSS , Bharat Operating System Solutions ,Computing,Software & Applications
2656,30,United States, BOSS , Building Opportunities for Self-Sufficiency ,Associations & Organizations,Regional Organizations
2657,30,United States, BOSS , Boulder Outdoor Survival School ,Academic & Science,Universities & Institutions
2658,30,Bosnia And Herzegovina, BOSS , Bosanska Stranka ,Governmental,Politics
2659,30,Canada, BOSS , Bur Oak Secondary School ,Academic & Science,Universities & Institutions
2660,20,Worldwide, BOSS , Ballistic Optimizing Shooting System ,Governmental,Weapons & Forces
2661,20,Worldwide, BOSS , Body Orifice Security Scanner ,Technology,Tech Terms
2662,20,United Kingdom, BOSS , British Offshore Sailing School ,Academic & Science,Universities & Institutions
2663,20,Worldwide, BOSS , Balanced Optical SteadyShot ,Technology,Tech Terms
2664,10,South Africa, BOSS , South African Bureau for State Security ,Governmental,Departments & Agencies
2665,80,Worldwide, BOT , Robot ,Computing,Internet
2666,70,Worldwide, BOT , Build–Operate–Transfer ,Business,Business Terms
2667,40,Thailand, BOT , Bank of Thailand ,Business,Banking
2668,30,Tanzania, BOT , Bank of Tanzania ,Business,Banking
2669,30,Botswana, BOT , Air Botswana ,Transport & Travel,Air Transport
2670,50,Japan, BOY , Bank of Yokohama ,Business,Banking
2671,100,Worldwide, BP , Blood Pressure ,Medical,Anatomy & Physiology
2672,80,Worldwide, BP , British Petroleum ,Business,Companies & Corporations
2673,40,Worldwide, BP , Base Pair ,Academic & Science,Chemistry
2674,30,Philippines, BP , Ballet Philippines ,Arts,Performing arts
2675,20,United Kingdom, BP , British Pharmacopoeia ,Medical,Medicines & Drugs
2676,20,Worldwide, BP , Bullous Pemphigoid ,Medical,Diseases & Conditions
2677,20,Germany, BP , Bayernpartei ,Governmental,Politics
2678,20,Portugal, BP , Banco de Portugal ,Business,Banking
2679,20,India, BP , Bharat Petroleum ,Governmental,Firms & Organizations
2680,90,Worldwide, BPA , Bisphenol A ,Academic & Science,Chemistry
2681,60,Worldwide, BPA , Business Process Automation ,Business,Business Terms
2682,50,Italy, BPA , Blue Panorama Airlines ,Transport & Travel,Airline Codes
2683,50,United States, BPA , Bonneville Power Administration ,Governmental,Departments & Agencies
2684,50,United Kingdom, BPA , British Parking Association ,Associations & Organizations,Trade Associations
2685,50,United States, BPA , Business Professionals of America ,Associations & Organizations,Regional Organizations
2686,50,Worldwide, BPA , Bloodstain Pattern Analysis ,Academic & Science,Courses
2687,40,Bangladesh, BPA , Bangladesh Police Academy ,Governmental,Police
2688,40,United Kingdom, BPA , Bradford Park Avenue ,Sports & Games,Football
2689,40,United Kingdom, BPA , British Parachute Association ,Associations & Organizations,Sports & Recreation Organizations
2690,40,United Kingdom, BPA , British Pipeline Agency ,Business,Companies & Corporations
2691,40,South Korea, BPA , Busan Port Authority ,Governmental,Departments & Agencies
2692,40,Worldwide, BPA , Bachelor of Public Administration ,Academic & Science,Academic Degrees
2693,40,Worldwide, BPA , Business Process Analysis ,Business,Business Terms
2694,20,Worldwide, BPA , Boardgame Players Association ,Associations & Organizations,Sports & Recreation Organizations
2695,20,United Kingdom, BPA , British Philosophical Association ,Associations & Organizations,Regional Organizations
2696,20,United Kingdom, BPA , British Pyrotechnists Association ,Associations & Organizations,Trade Associations
2697,20,Canada, BPA , Bureau of Pensions Advocates ,Governmental,Departments & Agencies
2698,20,Hong Kong, BPA , Business and Professionals Alliance ,Governmental,Politics
2699,60,Worldwide, BPC , Business Planning & Consolidation ,Business,Business Terms
2700,50,United States, BPC , Brewton–Parker College ,Academic & Science,Universities & Institutions
2701,40,United States, BPC , Bible Presbyterian Church ,Associations & Organizations,Religious Organizations
2702,40,United States, BPC , Bipartisan Policy Center ,Associations & Organizations,Regional Organizations
2703,40,United States, BPC , Berklee Performance Center ,Regional,Buildings & Landmarks
2704,40,United Kingdom, BPC , British Poultry Council ,Associations & Organizations,Trade Associations
2705,30,United Kingdom, BPC , Bournemouth & Poole College ,Academic & Science,Universities & Institutions
2706,30,Bangladesh, BPC , Bangladesh Petroleum Corporation ,Governmental,Firms & Organizations
2707,30,United States, BPC , Brown Printing Company ,Business,Companies & Corporations
2708,30,Bangladesh, BPC , Bangladesh Parjatan Corporation ,Governmental,Departments & Agencies
2709,30,Worldwide, BPC , Bonnes Pratiques Cliniques ,Medical,Laboratory
2710,30,Australia, BPC , Border Protection Command ,Governmental,Departments & Agencies
2711,30,Cameroon, BPC , Bamenda Airport ,Transport & Travel,Airport Codes
2712,30,Worldwide, BPC , Blood Pressure Cuff ,Medical,Instruments & Equipment
2713,20,United Kingdom, BPC , British Pharmaceutical Codex ,News & Entertainment,Journals & Publications
2714,20,South Africa, BPC , Black People’s Convention ,Governmental,Politics
2715,20,Australia, BPC , Buckley Park College ,Academic & Science,Universities & Institutions
2716,30,India, BPCL , Bharat Petroleum Corporation Limited ,Governmental,Firms & Organizations
2717,10,India, BPCL , Bharat Pumps and Compressors Limited ,Governmental,Firms & Organizations
2718,20,Worldwide, BPDU , Bridge Protocol Data Unit ,Computing,Networking
2719,40,Worldwide, BPEd , Bachelor of Physical Education ,Academic & Science,Academic Degrees
2720,30,Worldwide, BPEL , Business Process Execution Language ,Computing,Programming & Development
2721,20,United States, BPEL , Business Partnership for Early Learning ,Associations & Organizations,Trade Associations
2722,10,Japan, BPEL , Biological and Physiological Engineering Laboratory ,Academic & Science,Research & Development
2723,70,Worldwide, BPharm , Bachelor of Pharmacy ,Academic & Science,Academic Degrees
2724,80,India, BPL , Below Poverty Line ,Governmental,Census & Statistics
2725,70,Bangladesh, BPL , Bangladesh Premier League ,Sports & Games,Cricket
2726,70,Bangladesh, BPL , Bangladesh Premier League ,Sports & Games,Football
2727,60,India, BPL , Bhopal Junction ,Transport & Travel,IRCTC Station Codes
2728,50,United States, BPL , Boston Public Library ,Regional,Buildings & Landmarks
2729,40,United Kingdom, BPL , Barclays Premier League ,Sports & Games,Football
2730,40,United States, BPL , Birmingham Public Library ,Regional,Buildings & Landmarks
2731,40,United States, BPL , Brooklyn Public Library ,Regional,Buildings & Landmarks
2732,40,United Kingdom, BPL , Bio Products Laboratory ,Business,Companies & Corporations
2733,40,Worldwide, BPL , Bone Phosphate of Lime  ,Academic & Science,Chemistry
2734,40,Australia, BPL , Brisbane Premier League ,Sports & Games,Football
2735,40,Worldwide, BPL , Broadband over Power Line ,Technology,Communication
2736,40,Worldwide, BPL , Beta-Propiolactone ,Academic & Science,Chemistry
2737,30,Canada, BPL , Burnaby Public Library ,Regional,Buildings & Landmarks
2738,30,Worldwide, BPL , BioPollution Level ,Academic & Science,Biology
2739,30,India, BPL , British Physical Laboratories ,Business,Companies & Corporations
2740,20,China, BPL , Bole Alashankou Airport ,Transport & Travel,Airport Codes
2741,20,Worldwide, BPL , Bank Pool Loan ,Business,Banking
2742,10,Pakistan, BPL , Bosicor Pakistan Limited ,Business,Companies & Corporations
2743,90,Worldwide, BPO , Business Process Outsourcing ,Business,Business Terms
2744,70,Worldwide, BPO , Benzoyl Peroxide ,Academic & Science,Chemistry
2745,40,Germany, BPO , Berlin Philharmonic Orchestra ,Arts,Musical groups
2746,40,Worldwide, BPO , Bank Payment Obligation ,Business,Finance
2747,40,Worldwide, BPO , Broker's Price Opinion ,Business,Business Terms
2748,30,United States, BPO , Buffalo Philharmonic Orchestra ,Arts,Musical groups
2749,20,United States, BPO , Boston Philharmonic Orchestra ,Arts,Musical groups
2750,20,Australia, BPO , Brisbane Philharmonic Orchestra ,Arts,Musical groups
2751,10,Serbia, BPO , Belgrade Philharmonic Orchestra ,Arts,Musical groups
2752,10,Hungary, BPO , Budapest Philharmonic Orchestra ,Arts,Musical groups
2753,70,Worldwide, BPR , Business Process Re-engineering ,Business,Business Terms
2754,30,United States, BPR , Berkeley Poetry Review ,News & Entertainment,Journals & Publications
2755,10,Philippines, BPR , Borongan City Airport ,Transport & Travel,Airport Codes
2756,80,Worldwide, BPS , Basis Points ,Business,Finance
2757,70,Worldwide, bps , bits per second ,Computing,General Computing
2758,40,United Kingdom, BPS , British Psychological Society ,Associations & Organizations,Medical Organizations
2759,30,India, BPS , Birla Public School ,Academic & Science,Universities & Institutions
2760,30,Brazil, BPS , Porto Seguro Airport ,Transport & Travel,Airport Codes
2761,20,United States, BPS , Boston Public Schools ,Academic & Science,Universities & Institutions
2762,20,Sri Lanka, BPS , Buddhist Publication Society ,Society & Culture,Religion & Spirituality
2763,20,Thailand, BPS , Bangkok Patana School ,Academic & Science,Universities & Institutions
2764,20,Russian Federation, BPS , Baltic Pipeline System ,Technology,Tech Terms
2765,10,Australia, BPS , Blackfriars Priory School ,Academic & Science,Universities & Institutions
2766,10,Hong Kong, BPS , Belilios Public School ,Academic & Science,Universities & Institutions
2767,10,United States, BPS , Bellarmine Preparatory School ,Academic & Science,Universities & Institutions
2768,10,Singapore, BPS , Bendemeer Primary School ,Academic & Science,Universities & Institutions
2769,60,India, BPSC , Bihar Public Service Commission ,Governmental,Departments & Agencies
2770,40,Worldwide, BPSC , Back Post Single Crochet ,Society & Culture,Fashion & Lifestyle
2771,40,Bangladesh, BPSC , Bangladesh Public Service Commission ,Governmental,Departments & Agencies
2772,40,Pakistan, BPSC , Balochistan Public Service Commission ,Governmental,Departments & Agencies
2773,30,Worldwide, BPSC , Business Process and Services Computing ,Associations & Organizations,Conferences & Events
2774,10,United States, BPSC , Book Publicists of Southern California ,Associations & Organizations,Regional Organizations
2775,10,United States, BPSC , Bear Paw Scout Camp ,Business,Companies & Corporations
2776,10,India, BPSC , Belated Payment Surcharge ,Governmental,Departments & Agencies
2777,90,Brazil, BR , Brazil ,Regional,Countries
2778,80,Worldwide, BR , Best Regards ,Miscellaneous,Chat & Messaging
2779,80,Worldwide, Br , Bromine ,Academic & Science,Chemistry
2780,80,Worldwide, br , break ,Computing,Programming & Development
2781,80,Belarus, Br , Belarusian ruble ,Regional,Currencies
2782,80,France, br , Breton ,Regional,Language Codes
2783,70,Worldwide, BR , Battle Royale ,Computing,Games & Entertainment
2784,70,Brazil, br , Brazil (TLD) ,Computing,Domain Names (TLD)
2785,70,Worldwide, Br , Brother ,Society & Culture,Religion & Spirituality
2786,70,Worldwide, BR , BedRoom ,Academic & Science,Architecture & Constructions
2787,60,Germany, BR , Bayerischer Rundfunk ,News & Entertainment,TV & Radio
2788,60,Taiwan, BR , EVA Air ,Transport & Travel,Airline Codes
2789,60,Worldwide, BR , Butadiene Rubber ,Academic & Science,Chemistry
2790,60,United Kingdom, BR , Bromley ,Regional,Postal Codes
2791,50,Bangladesh, BR , Bangladesh Railway ,Transport & Travel,Rail Transport
2792,50,United Kingdom, BR , British Railways ,Transport & Travel,Rail Transport
2793,50,Worldwide, BR , Banana Republic ,Business,Companies & Corporations
2794,50,Worldwide, BR , Basic Rate ,Technology,Tech Terms
2795,50,Romania, BR , Brăila ,Transport & Travel,License Plates
2796,40,Worldwide, BR , Blade Runner ,News & Entertainment,Movies & Film
2797,40,Worldwide, BR , Bleacher Report ,Computing,Websites
2798,40,Worldwide, BR , Baskin-Robbins ,Business,Companies & Corporations
2799,40,Italy, BR , Brigate Rosse ,Associations & Organizations,Extremist Groups
2800,40,Worldwide, BR , Bus Request  ,Computing,General Computing
2801,40,Worldwide, BR , BiliRubin ,Medical,Biochemistry
2802,40,United States, BR , Baton Rouge ,Regional,Towns & Cities
2803,30,United States, BR , Bad Religion ,Arts,Musical groups
2804,30,Worldwide, BR , Bohemian Rhapsody ,News & Entertainment,Movies & Film
2805,30,Worldwide, BR , Bohemian Rhapsody ,Arts,Music
2806,30,Italy, BR , Province of Brindisi ,Transport & Travel,License Plates
2807,30,United States, BR , Brown County ,Regional,Places
2808,20,Pakistan, BR , Business Recorder ,News & Entertainment,Journals & Publications
2809,10,United Kingdom, BR , British Caledonian ,Transport & Travel,Airline Codes
2810,30,Worldwide, BRABUS ," BRAckmann, BUSchmann ",Business,Companies & Corporations
2811,90,Bangladesh, BRAC , Bangladesh Rural & Advancement Committee ,Associations & Organizations,Non-Profit Organizations
2812,40,Worldwide, BrahMos , Brahmaputra + Moskva ,Governmental,Military
2813,30,Worldwide, BRAVIA , Best Resolution Audio Visual Integrated Architecture ,Business,Products
2814,60,Worldwide, BRB , Be Right Back ,Miscellaneous,Chat & Messaging
2815,30,United Kingdom, BRB , Birmingham Royal Ballet ,Business,Companies & Corporations
2816,30,United States, BRB , Benefits Review Board ,Governmental,Departments & Agencies
2817,30,Brazil, BRB , Barreirinhas Airport ,Transport & Travel,Airport Codes
2818,20,United Kingdom, BRB , British Railways Board ,Governmental,Firms & Organizations
2819,10,Switzerland, BRB , Brienz Rothorn Bahn ,Transport & Travel,Rail Transport
2820,40,India, BRBNMP , Bharatiya Reserve Bank Note Mudran Private Limited ,Governmental,Firms & Organizations
2821,60,United Kingdom, BRC , British Retail Consortium ,Associations & Organizations,Trade Associations
2822,60,India, BRC , Vadodara Junction ,Transport & Travel,IRCTC Station Codes
2823,50,United Kingdom, BRC , Biomedical Research Centre ,Academic & Science,Research & Development
2824,50,Argentina, BRC , San Carlos de Bariloche Airport ,Transport & Travel,Airport Codes
2825,40,Worldwide, BRC , Bioinformatics Resource Center ,Associations & Organizations,Medical Organizations
2826,40,United Kingdom, BRC , Biological Records Centre ,Associations & Organizations,Regional Organizations
2827,40,United States, BRC , Bisexual Resource Center ,Associations & Organizations,Regional Organizations
2828,40,United States, BRC , Black Rock Coalition ,Arts,Musical groups
2829,40,United Kingdom, BRC , British Rabbit Council ,Associations & Organizations,Animal Welfare
2830,40,United States, BRC , Belt Railway Company of Chicago ,Transport & Travel,Railway Station Codes
2831,40,United Kingdom, BRC , British Rally Championship ,Sports & Games,Sports Events
2832,40,Worldwide, BRC , Business Reply Card ,Business,Business Terms
2833,40,United States, BRC , Black Rock City ,Regional,Places
2834,40,Sri Lanka, BRC , Burgher Recreation Club ,Regional,Buildings & Landmarks
2835,40,Worldwide, BRC , Biological Resource Centre ,Academic & Science,Research & Development
2836,40,India, BRC , Bank Realization Certificate ,Business,Banking
2837,30,Bulgaria, BRC , Bulgarian Red Cross ,Associations & Organizations,Medical Organizations
2838,20,United States, BRC , Brotherhood of Railway Carmen ,Associations & Organizations,Trade Associations
2839,20,Bulgaria, BRC , Bulgarian Railway Company ,Transport & Travel,Rail Transport
2840,20,France, BRC , Besançon Racing Club ,Associations & Organizations,Sports & Recreation Organizations
2841,10,United States, BRC , Billy Ray Cyrus ,Society & Culture,Celebrities & Famous
2842,10,Worldwide, BRC , Big Red Car ,Arts,Music
2843,70,United Kingdom, Brexit , British exit ,Governmental,Politics
2844,90,Worldwide, BRI , Belt and Road Initiative ,Governmental,Policies & Programs
2845,80,Indonesia, BRI , Bank Rakyat Indonesia ,Business,Banking
2846,60,Worldwide, BRI , Basic Rate Interface ,Technology,Communication
2847,50,France, BRI , Brigade de Recherche et d'Intervention ,Governmental,Police
2848,50,Italy, BRI , Bari Karol Wojtyła Airport ,Transport & Travel,Airport Codes
2849,40,Worldwide, BRI , Biblical Research Institute ,Academic & Science,Research & Development
2850,40,United Kingdom, BRI , Bristol Royal Infirmary ,Medical,Hospitals
2851,40,United Kingdom, BRI , Bradford Royal Infirmary ,Medical,Hospitals
2852,30,United States, BRI , Biosecurity Research Institute ,Academic & Science,Research & Development
2853,20,Canada, BRI , Brewers Retail Inc. ,Business,Companies & Corporations
2854,20,Israel, BRI , Breslov Research Institute ,Business,Companies & Corporations
2855,60,Worldwide, BRICS ," Brazil, Russia, India, China and South Africa ",Associations & Organizations,International Orgaizations
2856,20,Denmark, BRICS , Basic Research in Computer Science ,Academic & Science,Research & Development
2857,60,Worldwide, Bridgestone ," named after its founder Shojiro Ishibashi, Ishibashi means “stone bridge” ",Business,Companies & Corporations
2858,90,Worldwide, Bro , Brother ,Miscellaneous,Chat & Messaging
2859,50,India, BRO , Border Roads Organisation ,Governmental,Departments & Agencies
2860,20,United States, BRO , Brownsville/South Padre Island International Airport ,Transport & Travel,Airport Codes
2861,20,United States, BRO , Basic Rights Oregon ,Associations & Organizations,Regional Organizations
2862,50,India, BRTS , Bus Rapid Transit System ,Transport & Travel,Land Transport
2863,80,Worldwide, Brunch , Breakfast + Lunch ,Society & Culture,Food & Drink
2864,100,Worldwide, BS , Bachelor of Science ,Academic & Science,Academic Degrees
2865,90,Bahamas, BS , Bahamas ,Regional,Countries
2866,70,Worldwide, BS , British Standards ,Technology,Specifications & Standards
2867,60,Worldwide, bs , Bosnian ,Regional,Language Codes
2868,60,Worldwide, BS , Base Station ,Technology,Communication
2869,50,Bolivia, Bs , Bolivian Boliviano ,Regional,Currencies
2870,50,United Kingdom, BS , Bristol postcode area ,Regional,Postal Codes
2871,50,India, BS , Bharat Stage ,Governmental,Standards
2872,40,Germany, BS , Braunschweig ,Transport & Travel,License Plates
2873,40,United Kingdom, BS , British International Helicopters ,Transport & Travel,Airline Codes
2874,30,Bahamas, bs , Bahamas (TLD) ,Computing,Internet
2875,30,Nepal, BS , Bikram Samvat ,Academic & Science,Language & Linguistics
2876,30,Venezuela, Bs , Venezuelan Bolivar ,Regional,Currencies
2877,30,Worldwide, BS , BioShock ,Computing,Games & Entertainment
2878,30,Worldwide, BS , Brain stem ,Medical,Anatomy & Physiology
2879,30,Switzerland, BS , Basel-Stadt ,Regional,States & Districts
2880,20,Japan, BS , Broadcasting Satellite ,Academic & Science,Astronomy & Space Science
2881,20,United States, BS , BellSouth ,Business,Companies & Corporations
2882,20,Worldwide, BS , Bulletstorm ,Computing,Games & Entertainment
2883,20,Worldwide, BS , Broken Sword ,Computing,Games & Entertainment
2884,20,United Kingdom, BS , Baker Street ,Regional,Towns & Cities
2885,40,India, BS II , Bharat Stage II ,Governmental,Standards
2886,40,India, BS III , Bharat Stage III ,Governmental,Standards
2887,50,India, BS IV , Bharat Stage IV ,Governmental,Standards
2888,50,Worldwide, BS6 , Bharat Stage 6 ,Governmental,Standards
2889,70,Worldwide, BSA , Business Software Alliance ,Computing,Software & Applications
2890,40,United Kingdom, BSA , Birmingham Small Arms Company ,Business,Companies & Corporations
2891,90,Worldwide, BSc , Bachelor of Science ,Academic & Science,Academic Degrees
2892,80,Worldwide, BSC , Balanced ScoreCard ,Business,Business Management
2893,60,Ecuador, BSC , Barcelona Sporting Club ,Sports & Games,Football
2894,50,Spain, BSC , Barcelona Supercomputing Center ,Academic & Science,Research & Development
2895,50,United Kingdom, BSC , British Society of Cinematographers ,Associations & Organizations,Medical Organizations
2896,50,Worldwide, BSC , Binary Symmetric Channel ,Computing,General Computing
2897,50,Worldwide, BSC , Binary Synchronous Communication ,Computing,Protocols
2898,50,Worldwide, BSC , Biological Safety Cabinet ,Medical,Laboratory
2899,50,Worldwide, BSC , Base Station Controller ,Technology,Communication
2900,40,United States, BSC , Birmingham–Southern College ,Academic & Science,Universities & Institutions
2901,40,United States, BSC , Bismarck State College ,Academic & Science,Universities & Institutions
2902,40,United States, BSC , Bluefield State College ,Academic & Science,Universities & Institutions
2903,40,United States, BSC , Berkeley Student Cooperative ,Associations & Organizations,Regional Organizations
2904,40,United States, BSC , Boston Scientific Corporation ,Business,Companies & Corporations
2905,40,Canada, BSC , Bird Studies Canada ,Associations & Organizations,Animal Welfare
2906,40,United States, BSC , British Security Coordination ,Governmental,Military
2907,40,Worldwide, BSC , Bristol Stool Chart ,Medical,Tests
2908,40,Worldwide, BSC , Biological Species Concept ,Animal Kingdom,Animal Physiology
2909,40,Worldwide, BSC , Bordereau de Suivi de Cargaison ,Transport & Travel,Shipping
2910,40,Germany, BSC , Berliner Sport-Club ,Sports & Games,Football
2911,40,Worldwide, BSC , The Baby-Sitters Club ,News & Entertainment,Journals & Publications
2912,30,United States, BSC , Bridgewater State College ,Academic & Science,Universities & Institutions
2913,30,United Kingdom, BSC , British Steel Corporation ,Business,Companies & Corporations
2914,30,Worldwide, BSC , Biological Stain Commission ,Associations & Organizations,Regional Organizations
2915,30,Worldwide, BSC , Bright Star Catalog ,Academic & Science,Astronomy & Space Science
2916,30,Worldwide, BSC , British Standard Cycle ,Technology,Specifications & Standards
2917,30,United States, BSC , Big Sky Conference ,Associations & Organizations,Conferences & Events
2918,20,United States, BSC , Buffalo State College ,Academic & Science,Universities & Institutions
2919,20,United States, BSC , Bryant & Stratton College ,Academic & Science,Universities & Institutions
2920,20,Worldwide, BSC , Basic Spacing between Centers ,Academic & Science,Electronics
2921,20,United States, BSC , Black Stone Cherry ,Arts,Musical groups
2922,20,Bahrain, BSC , Bahrain Shareholding Company ,Business,Business Terms
2923,10,Australia, BSC , Bentleigh Secondary College ,Academic & Science,Universities & Institutions
2924,10,Philippines, BSC , Bohemian Sporting Club ,Associations & Organizations,Regional Organizations
2925,10,Japan, BSC , Blood Stain Child ,Arts,Musical groups
2926,10,Germany, BSC , Bundesvision Song Contest ,News & Entertainment,TV & Radio
2927,10,Kenya, BSC , Broglio Space Center ,Academic & Science,Astronomy & Space Science
2928,80,Worldwide, BSD , Berkeley Software Distribution ,Computing,Software & Applications
2929,90,India, BSE , Bombay Stock Exchange ,Business,Stock Market
2930,40,United States, BSE , Boston Stock Exchange ,Business,Stock Market
2931,40,Worldwide, BSE , Bachelor of Software Engineering ,Academic & Science,Academic Degrees
2932,30,Bahrain, BSE , Bahrain Stock Exchange ,Business,Stock Market
2933,20,Worldwide, BSE , Breast self-examination ,Medical,Tests
2934,20,Hungary, BSE , Budapest Stock Exchange ,Business,Stock Market
2935,20,Lebanon, BSE , Beirut Stock Exchange ,Business,Stock Market
2936,20,Worldwide, BSE , Bovine Spongiform Encephalopathy ,Animal Kingdom,Pets & Domesticated
2937,10,India, BSE , Board of Secondary Education ,Academic & Science,Universities & Institutions
2938,60,India, BSEB , Bihar School Examination Board ,Governmental,Departments & Agencies
2939,20,India, BSEB , Bihar State Electricity Board ,Governmental,Firms & Organizations
2940,40,India, BSER , Board of Secondary Education ,Governmental,Departments & Agencies
2941,30,Worldwide, BSER , Brainstem Evoked Response ,Medical,Tests
2942,30,United States, BSER , Best System of Emission Reduction ,Governmental,Standards
2943,80,India, BSF , Border Security Force ,Governmental,Weapons & Forces
2944,70,Worldwide, BSF , British standard fine thread ,Academic & Science,Engineering
2945,50,Worldwide, BSF , Bible Study Fellowship ,Associations & Organizations,Religious Organizations
2946,40,Worldwide, BSF , Bean Scripting Framework ,Computing,Programming & Development
2947,30,Worldwide, BSF , Basilar Skull Fracture ,Medical,Diseases & Conditions
2948,10,France, BSF , Bibliothécaires Sans Frontières ,Associations & Organizations,Educational Organizations
2949,80,United Kingdom, BSI , British Standards Institution ,Business,Services
2950,70,India, BSI , Bible Society of India ,Associations & Organizations,Religious Organizations
2951,70,Germany, BSI , Bundesamt für Sicherheit in der Informationstechnik ,Governmental,Departments & Agencies
2952,60,Japan, BSI , Brain Science Institute ,Academic & Science,Research & Development
2953,40,India, BSI , Botanical Survey of India ,Associations & Organizations,Environment & Nature Organizations
2954,40,Myanmar, BSI , Bureau of Special Investigation ,Governmental,Departments & Agencies
2955,40,United Kingdom, BSI , British Society for Immunology ,Associations & Organizations,Medical Organizations
2956,40,Switzerland, BSI , Banca della Svizzera Italiana ,Business,Banking
2957,50,Worldwide, BSM , Business Service Management ,Business,Business Management
2958,40,United States, BSM , Bronze Star Medal ,Governmental,Military
2959,30,Worldwide, BSM , Basic Security Module ,Computing,Security
2960,30,United States, BSM , Benilde-St. Margaret’s ,Academic & Science,Universities & Institutions
2961,30,Worldwide, BSM , Budapest Semesters in Mathematics ,Academic & Science,Mathematics
2962,30,Canada, BSM , Bata Shoe Museum ,Regional,Buildings & Landmarks
2963,30,Worldwide, BSM , Branch Service Manager ,Business,Job Titles
2964,20,Iran, BSM , Bishe Kola Air Base ,Transport & Travel,Airport Codes
2965,60,Worldwide, BSN , Bachelor of Science in Nursing ,Academic & Science,Academic Degrees
